X,state_abbr,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty_Rate,Unemployment_rate,Personal_income,State_Minimum_Wage,Marginally_Food_Insecure,Food_Insecure,Very_Low_Food_Secure,Food_Stamp_Recipients,SSI_recipients,Medicaid_beneficiaries,WIC_participation,SBP_Total_Participation,Medicaid_expansion,state_name
1,AL,1,2017,6656,1264375.85058943,0.352780164871994,1310927.67766966,0.352597254382074,2350251.8209082,0.979887463223286,784498.281722188,0.335237323608871,415974.92867029,0.363192906699961,4874486,15,4.4,199999800,7.25,24.10363,13.44144,5.10377,804336,165002,1017416,123993,271324,0,alabama
2,AL,1,2018,6648,1233959.46814005,0.334884816136038,1332487.69686615,0.349807365904283,2403088.67653212,0.982827591469771,804683.204205317,0.335928276277119,410963.497960874,0.366380974376684,4887681,16,3.9,208752700,7.25,24.64195,15.98543,6.83583,766681,161587,1021657,120605,267372,0,alabama
3,AL,1,2019,6936,1262155.46637156,0.354393791424424,1363242.88094832,0.365261662013341,2388531.02961506,0.986520884918087,824190.420550207,0.34600408457167797,446823.099728793,0.398588400877093,4903185,12.9,3,216449000,7.25,25.79679,15.18524,4.75046,667043,160204,1035250,115410,272446,0,alabama
4,AL,1,2020,5418,1214505.97538369,0.328827985709227,1289622.7013849,0.335605986471527,2442243.72516981,0.985256405400988,738566.997399224,0.303797289207017,362159.109524869,0.336659727272844,5033094,14.9,6.4,230878400,7.25,19.42939,12.41902,3.54094,730708,157325,1082699,116056,205669,0,alabama
5,AL,1,2021,4575,1294704.79360578,0.34418902975911,991291.148659087,0.258774066319441,2478146.2761989,0.979055866582407,576175.526314535,0.237951707110207,327288.325919201,0.2858635020457,5049196,15.9,3.3,255682300,7.25,16.00302,10.68859,3.7416,769606,150729,1190064,111741,106207,0,alabama
6,AL,1,2022,4435,1312339.15242752,0.350641064827217,1081763.27787963,0.286768301305215,2510283.9003895,0.989521864449685,694798.181781601,0.283642725055997,357245.394853849,0.312662103303261,5076181,13.6,2.5,262425800,7.25,23.62334,15.25049,5.39643,761074,146542,1280214,108661,302287,0,alabama
7,AL,1,2023,4196,1397393.87803431,0.371970455337719,1104808.74281902,0.288001170118156,2485720.88823628,0.985998387417365,665204.34719402,0.27244457937365,358564.759689703,0.301236155709735,5117673,14.2,2.5,279484600,7.25,20.85882,11.003,3.03054,776479,142655,1375674,111154,270448,0,alabama
8,AL,1,2024,4864,1339514.95574251,0.358925077745388,1031928.86199501,0.269609272581482,2548031.5578514,0.987380490825827,667139.771570366,0.266780458726556,380123.588351833,0.318484107646778,5157699,16.3,3.1,295590500,7.25,20.74325,14.04754,5.68302,752161,140808,1097436,111702,283931,0,alabama
9,AK,2,2017,3199,114899.732873105,0.215691200625182,230702.974584358,0.421178717492728,292674.348719904,0.993985732357601,112368.941832122,0.390148840465077,43346.5565212549,0.432590624425675,739700,14.4,6.9,42454400,9.8,20.97868,11.88429,3.28195,89113,12572,185347,18188,26769,1,alaska
10,AK,2,2018,2736,143890.229958113,0.265118052104501,257074.519024335,0.468621887116047,291024.024880846,0.98782205718702,122028.251072947,0.422818453852995,48692.8946488591,0.427940368260114,735139,13.1,6.5,44369600,9.84,19.23322,12.74586,5.61445,91995,12528,198729,17092,27001,1,alaska
11,AK,2,2019,3000,138937.860847012,0.260880098822695,233518.792673362,0.423482371409384,284774.068451967,0.982767289649579,106407.733315457,0.376611442125668,41918.4066113945,0.388281931592104,731545,10.2,6.1,45945100,10.19,15.90393,10.51467,5.05913,78932,12468,204493,15978,26946,1,alaska
12,AK,2,2020,3635,111165.237325987,0.215295825417457,235518.442616775,0.438281642885059,268184.175994668,0.978076234493451,99721.2160473713,0.376173790654589,27553.5089740303,0.314977667510302,733017,13.4,8.3,45375800,10.19,18.69134,9.55016,3.99181,83194,12434,221897,15235,17718,1,alaska
13,AK,2,2021,5391,140241.296210844,0.271211588343118,172918.767088719,0.335221779210782,291926.144502485,0.987666762509479,88454.3720044727,0.313926889790701,38437.5189080713,0.343086474391391,734420,11.4,6.4,48327100,10.34,18.56996,10.71995,1.91486,82888,11791,240010,14551,3367,1,alaska
14,AK,2,2022,5593,147092.591696415,0.29336097057013,172900.349372088,0.341058300205682,298073.283971313,0.988353921827529,87325.5894255868,0.306439310219219,39761.1233278705,0.350253829536692,734442,9.6,4.3,50793700,10.34,18.58634,11.70765,5.88849,92119,11373,253535,13761,26245,1,alaska
15,AK,2,2023,5859,170831.871613956,0.300685973340698,179164.248145419,0.31702342628361,338185.190615219,0.986573136463281,92770.6333008619,0.286555583623359,41804.4573625446,0.310769516301653,736510,10.1,4.2,53322000,10.85,24.54494,13.80309,7.78478,54002,10758,251929,13806,21835,1,alaska
16,AK,2,2024,5484,158637.130392436,0.295231579073794,168712.465291225,0.312743863614411,328453.697461365,0.990201968972276,90244.9363451204,0.288068563511329,41917.4455677257,0.322460232355395,740133,9.4,4.6,56423100,11.73,27.61407,18.55333,7.62437,68261,10351,244456,14319,22143,1,alaska
17,AZ,4,2017,15228,1379012.1805766,0.272745274338555,2032584.63533882,0.385161771904833,2936820.23116822,0.975487416988718,1015912.86927595,0.348697313463244,429652.860248381,0.362566736660934,7044008,13.2,4.9,300007500,10,23.50124,14.390319999999999,6.79021,918728,119378,1935994,153510,314885,1,arizona
18,AZ,4,2018,8135,1427849.51526476,0.27221180608899,2030069.84578164,0.374145564250252,3049857.13088264,0.983517015524797,990998.851283361,0.3279227388691,386508.216352148,0.32113757683046,7158024,12.8,4.7,319226300,10.5,18.83781,11.21666,4.60154,845733,118534,1864623,149513,313831,1,arizona
19,AZ,4,2019,9111,1520312.16133548,0.28291704264974,2236923.49413351,0.396923950820918,3106956.53486145,0.981243961170236,1103493.31399055,0.359010552728956,517596.385076366,0.400002209846655,7278717,9.9,4.7,335243100,12,21.80375,12.99242,2.56458,736883,119424,1861477,141959,312207,1,arizona
20,AZ,4,2020,10315,1387309.1098403,0.25704563643951,2196664.37461631,0.383879837259962,3124276.73197713,0.981040636294049,1024357.79129184,0.332222459876661,395556.425595848,0.353730479428001,7187135,10.9,7.8,374282400,12,19.82094,11.53472,4.02985,833448,118747,1977681,141707,276460,1,arizona
21,AZ,4,2021,10639,1537096.04386887,0.290043173057623,1741233.75064027,0.322423797531148,3131350.2444611,0.981799167251801,897569.84404591,0.29610978419831,378615.898471066,0.30127527904595,7274078,12.6,5,415893100,12.15,15.6211,9.45684,2.57899,879123,114713,2193071,141778,145753,1,arizona
22,AZ,4,2022,8993,1535836.55451544,0.323867086137136,1649675.1139515,0.337221605941506,3074589.2594521,0.983870817544723,884688.406540379,0.300725814663297,406449.471805396,0.318092381151402,7377566,12.7,3.8,435718700,12.8,25.47576,12.90132,4.6057,825666,112371,2384231,141049,313516,1,arizona
23,AZ,4,2023,12541,1809027.91292936,0.305782368204025,1798428.45978226,0.306137072781869,3643225.55147303,0.984230029009584,938825.25163299,0.271982733319625,438978.287722838,0.303714517831138,7473027,11.9,3.7,471040200,13.85,21.93135,12.3928,5.53162,898016,111780,2306406,149248,254333,1,arizona
24,AZ,4,2024,9286,1817512.44273753,0.306220241409829,1905693.67550178,0.316304147839394,3716127.1234438,0.987297804657609,993227.050105173,0.28010998442079,440417.536307232,0.30406557429351,7582384,10.1,3.6,498903600,14.35,23.08115,14.64788,4.85352,923400,112402,2167329,152961,271318,1,arizona
25,AR,5,2017,5288,808981.665461825,0.369812741567338,774917.195128175,0.343039932231639,1405058.78944698,0.988219453414188,444194.338118759,0.318709027381228,254185.740175357,0.356722542881276,3001345,14.8,3.7,125025700,8.5,28.60892,19.84534,5.54384,388362,107563,935173,76519,184851,1,arkansas
26,AR,5,2018,5222,771852.635282465,0.348893579217381,739524.134187977,0.324622153047166,1434341.31394831,0.98710062281175,443896.944913445,0.311253010881954,222462.748430439,0.326353429831608,3009733,15.9,3.6,130397500,8.5,24.89688,12.96043,5.70109,372451,105231,917921,73607,189764,1,arkansas
27,AR,5,2019,5523,834797.175412079,0.371452238161012,809312.177791419,0.34516450809487,1494564.5426066,0.985748159783905,477141.114488139,0.322083533553552,243625.23597012,0.331236140448503,3017804,14.1,3.5,134682700,9.25,21.19793,11.80532,4.43719,354917,104331,825397,67231,194175,1,arkansas
28,AR,5,2020,5148,716634.735016527,0.334411451932212,794076.811227196,0.353822683288236,1399219.9417178,0.990115482782731,433136.302127392,0.31304817636484,207110.27867642,0.33244776155647,3014546,14.1,6.1,142072200,10,20.54394,13.95048,6.19203,393091,103134,869325,58514,190964,1,arkansas
29,AR,5,2021,5183,763175.280302976,0.359653116425679,575583.15153432,0.269177789164287,1448909.668881,0.989514903091279,344628.314613151,0.251889992985911,182482.984048318,0.283653116209514,3026870,16.8,4,161493900,11,25.31163,17.24863,4.78965,346176,98935,954873,50751,183931,1,arkansas
30,AR,5,2022,5383,855249.12765875,0.395657898839623,655081.604877142,0.291844934581243,1582223.41140404,0.990386425745749,405996.212171326,0.272807787680692,234786.223207978,0.322792142956545,3047704,16.6,3.2,163688600,11,27.19327,17.59165,5.15369,262916,96423,1036836,56008,207097,1,arkansas
31,AR,5,2023,5273,888647.628219992,0.398951766641661,622609.021359602,0.279586575013149,1549033.69513722,0.991260601914406,390975.95581227,0.266903558697758,229620.698405222,0.30332688607295,3069463,13.8,3.1,173568300,11,32.89889,21.78223,6.07023,249709,95811,967900,62157,193190,1,arkansas
32,AR,5,2024,5558,875984.832681704,0.369752775417969,661389.950518978,0.280224399818178,1626673.90142032,0.987991771129358,418332.063972463,0.270408967775083,228069.802640695,0.306851942083641,3088354,13.2,3.5,183201800,11,33.49599,23.27528,8.69006,240122,95893,812769,62949,193635,1,arkansas
33,CA,6,2017,9322,6749814.3970872,0.237697509693043,10228179.3311406,0.337211579652424,15707508.5485219,0.973582582446491,4716233.15233765,0.301207847977864,1626683.12335293,0.289295176195461,39358497,12.4,4.8,2383130500,10,18.78524,10.80018,3.47386,4112066,1262537,11568990,1080241,1727064,1,california
34,CA,6,2018,10871,6521109.09058548,0.247220256380313,9900580.47174061,0.354454819072996,14772705.3133429,0.973398429347389,4690054.30772804,0.318992761268445,1847334.75597917,0.340200790278027,39461588,11.9,4.3,2514503400,11,18.51977,10.27717,2.78671,3949535,1239522,12874106,1009492,1706654,1,california
35,CA,6,2019,12584,7655700.52805219,0.244513683879091,11389243.2857569,0.34279546077124,17263627.2369413,0.972169221088209,5382389.7104429,0.313313208274739,2046903.43062792,0.320711169858286,39512223,10.1,4,2632279800,12,18.39648,9.92111,3.05447,3529470,1222997,12437994,928943,1696894,1,california
