state_name,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty Rate,Unemployment rate,Personal income,State Minimum Wage,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Food Stamp/SNAP Recipients,SSI recipients,Medicaid beneficiaries,WIC participation,SBP Total Participation,Fraction of the Year ACA Expansion
AL,1,2017,6656,1264375.850589427,0.35278016487199404,1310927.6776696625,0.35259725438207384,2350251.8209082014,0.9798874632232856,784498.2817221882,0.3352373236088708,415974.92867029033,0.3631929066999614,4874486,15,4.4,199999800,7.25,24.10363,13.44144,5.10377,804336,165002,1017416,123993,271324,0
AL,1,2018,6648,1233959.4681400515,0.33488481613603827,1332487.69686615,0.34980736590428324,2403088.676532119,0.9828275914697714,804683.2042053168,0.3359282762771194,410963.49796087353,0.3663809743766844,4887681,16,3.9,208752700,7.25,24.64195,15.98543,6.83583,766681,161587,1021657,120605,267372,0
AL,1,2019,6936,1262155.4663715553,0.35439379142442395,1363242.8809483217,0.36526166201334137,2388531.029615064,0.9865208849180865,824190.4205502068,0.34600408457167764,446823.0997287934,0.39858840087709324,4903185,12.9,3,216449000,7.25,25.79679,15.18524,4.75046,667043,160204,1035250,115410,272446,0
AL,1,2020,5418,1214505.975383689,0.3288279857092275,1289622.701384896,0.3356059864715265,2442243.725169811,0.9852564054009877,738566.9973992239,0.3037972892070166,362159.1095248688,0.3366597272728442,5033094,14.9,6.4,230878400,7.25,19.42939,12.41902,3.54094,730708,157325,1082699,116056,205669,0
AL,1,2021,4575,1294704.7936057847,0.3441890297591096,991291.1486590867,0.25877406631944105,2478146.2761988956,0.9790558665824066,576175.5263145347,0.2379517071102075,327288.32591920096,0.2858635020457001,5049196,15.9,3.3,255682300,7.25,16.00302,10.68859,3.7416,769606,150729,1190064,111741,106207,0
AL,1,2022,4435,1312339.1524275246,0.35064106482721685,1081763.2778796302,0.28676830130521463,2510283.900389497,0.9895218644496853,694798.1817816009,0.28364272505599686,357245.3948538493,0.3126621033032606,5076181,13.6,2.5,262425800,7.25,23.62334,15.25049,5.39643,761074,146542,1280214,108661,302287,0
AL,1,2023,4196,1397393.8780343125,0.37197045533771944,1104808.7428190196,0.28800117011815596,2485720.888236277,0.9859983874173653,665204.3471940198,0.2724445793736504,358564.7596897027,0.30123615570973516,5117673,14.2,2.5,279484600,7.25,20.85882,11.003,3.03054,776479,142655,1375674,111154,270448,0
AL,1,2024,4864,1339514.955742512,0.3589250777453882,1031928.8619950078,0.2696092725814824,2548031.5578513993,0.9873804908258275,667139.7715703662,0.26678045872655565,380123.5883518331,0.3184841076467782,5157699,16.3,3.1,295590500,7.25,20.74325,14.04754,5.68302,752161,140808,1097436,111702,283931,0
NA,1,2025,571,148478.70954069952,0.34564228605323344,121553.50720297571,0.27427634487408503,293987.17096290697,0.9896512919736806,71050.52528141526,0.24961089511236104,49797.420673186636,0.35518023074898036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AK,2,2017,3199,114899.73287310459,0.21569120062518182,230702.97458435778,0.4211787174927284,292674.3487199043,0.9939857323576006,112368.94183212188,0.3901488404650774,43346.55652125486,0.4325906244256748,739700,14.4,6.9,42454400,9.8,20.97868,11.88429,3.28195,89113,12572,185347,18188,26769,1
